,FlightNumber
1072,CVG_GRB_68641
1073,MHT_BWI_97058
1074,ALB_ORD_91723
1075,ORD_MIA_63220
1076,ATL_AVL_75308
1077,DEN_SLC_78027
1078,SAT_ATL_65818
1079,ATL_AVL_85191
1080,OAK_SNA_95649
1081,ATL_EWR_103451
1082,ATL_EWR_81011
1083,PHL_TPA_79785
1084,RNO_SEA_68946
1085,DFW_DCA_91169
1086,BDL_MCO_89926
1087,OAK_SNA_85440
1088,CAK_CVG_94398
1089,PNS_CVG_85117
1090,EWR_DCA_76669
1091,PIT_LAS_101235
1092,SFO_ACV_72678
1093,ORD_CLE_59372
1094,MSP_CLT_88590
1095,ATL_MKE_89114
1096,MEM_CVG_82448
1097,BDL_FLL_102778
1098,ORD_MSP_77029
1099,EWR_DFW_71142
1100,ORD_IAD_100322
1101,IAD_TYS_77653
1102,SFO_MFR_96999
1103,CVG_XNA_90726
1104,IAH_SEA_76981
1105,ATL_MCI_69588
1106,STL_ORD_82471
1107,EWR_MIA_89443
1108,ATL_MCI_103549
1109,SFO_SBA_81985
1110,RDU_ATL_76077
1111,ORD_CVG_89378
1112,PIT_LAS_81887
1113,ATL_HOU_95248
1114,BOS_BWI_91288
1115,BNA_ATL_74058
1116,RDU_ATL_89453
1117,JFK_LAX_63875
1118,ORD_CVG_86309
1119,ANC_FAI_57002
1120,IAD_ORD_89929
1121,MCO_ISP_76549
1122,MEM_ORD_95445
1123,LAX_DEN_66789
1124,SLC_SJC_95488
1125,ORD_RSW_91612
1126,DCA_LGA_99644
1127,ATL_PHX_89841
1128,BOS_DCA_58344
1129,ATL_SLC_79402
1130,OAK_LAX_88568
1131,BHM_BWI_78135
1132,FLL_MDW_96347
1133,FLL_MDW_98702
1134,MSP_ORD_63303
1135,JFK_OAK_104440
1136,IAH_ORD_80146
1137,CVG_PHX_73728
1138,DFW_DCA_85266
1139,OAK_LAX_95457
1140,PVD_TPA_73604
1141,LAX_SJC_56876
1142,JFK_PIT_105040
1143,CVG_CID_77093
1144,CMH_LAS_104283
1145,BOS_MCO_84856
1146,SFO_LAS_72890
1147,MCO_BOS_61568
1148,DEN_PHX_83134
1149,PHL_RDU_67616
1150,GSO_ATL_70362
1151,IND_MSP_86160
1152,CVG_SGF_104576
1153,IAH_AEX_90525
1154,DFW_IAH_101975
1155,DTW_MIA_84166
1156,CVG_SGF_76335
1157,TPA_MSP_89135
1158,CLT_ORF_93565
1159,PBI_LGA_71777
1160,CMH_LGA_93403
1161,PHX_SEA_80255
1162,PHX_SEA_59651
1163,EWR_SFO_84698
1164,MCO_PIT_67856
1165,DCA_MSY_102673
1166,DTW_DEN_97102
1167,BOS_DCA_73353
1168,JAX_BHM_62604
1169,PIT_DEN_68748
1170,IAH_DEN_92964
1171,ORD_ATL_59600
1172,PFN_MCO_87148
1173,PHL_MSP_59141
1174,PHL_MHT_82727
1175,ATL_DCA_80559
1176,ORD_ATL_97198
1177,BWI_JAX_58520
1178,PFN_MCO_58013
1179,PFN_MCO_97561
1180,DTW_DCA_82071
1181,PHX_DEN_84279
1182,PHX_PDX_69070
1183,SYR_CLT_60495
1184,CAK_CVG_80117
1185,ORD_SEA_99926
1186,IAH_PHX_64854
1187,DTW_DCA_60944
1188,DTW_CVG_88708
1189,IAH_CLT_104705
1190,DFW_TPA_66783
1191,MCI_LGA_100576
1192,MSP_GTF_72125
1193,COS_CVG_64378
1194,LGA_DCA_60251
1195,BOS_BGR_77479
1196,DEN_SEA_89533
1197,CRP_ATL_57544
1198,ORD_RNO_66379
1199,ATL_SLC_80129
1200,SFO_SBA_57651
1201,JAN_ATL_104227
1202,IAD_DFW_88609
1203,CLE_GSP_63433
1204,IAD_DFW_69452
1205,CMH_ATL_75447
1206,ATL_SAV_87146
1207,SDF_ATL_78769
1208,LGA_TPA_90874
1209,DTW_BNA_67547
1210,PHL_DEN_91671
1211,IND_TPA_87823
1212,PDX_ABQ_96491
1213,BNA_BWI_65291
1214,BOS_PHF_91039
1215,ATW_ATL_80485
1216,STL_ORD_93684
1217,PHL_MHT_86583
1218,PIT_MCO_98196
1219,PHX_LAX_78589
1220,JFK_SLC_90361
1221,DTW_CVG_80645
1222,PVD_MCO_80328
1223,BWI_BOS_90110
1224,DFW_DTW_72627
1225,MSP_MDW_64330
1226,LAS_FAT_77353
1227,ATL_CLT_105050
1228,ATL_MCI_95374
1229,PIT_DEN_59546
1230,TPA_CLE_65937
1231,CMH_ATL_58683
1232,TUL_DEN_103780
1233,MIA_SFO_98052
1234,BDL_PHX_69843
1235,DEN_SEA_104824
1236,AGS_ATL_99092
1237,DCA_LAX_104658
1238,MSP_ORD_70404
1239,TUS_DFW_94893
1240,IAD_ATL_84315
1241,SRQ_ATL_72607
1242,ATL_CLT_96195
1243,MCO_DFW_68043
1244,ATL_HPN_78608
1245,CLE_DEN_103294
1246,EWR_IAH_78533
1247,BWI_LAS_63556
1248,LGA_DFW_78773
1249,PBI_LGA_87777
1250,BWI_BDL_59646
1251,DCA_MIA_69121
1252,IAD_MCO_95761
1253,ISP_BWI_65460
1254,OAK_SAN_56962
1255,RNO_SEA_67381
1256,RNO_SEA_94666
1257,JFK_PIT_101758
1258,MKE_MSP_93233
1259,IND_LAX_62393
1260,IAD_SEA_66710
1261,OAK_ONT_64433
1262,TPA_PHL_95132
1263,IAH_EWR_90082
1264,CLE_BNA_94030
1265,IAH_EWR_60777
1266,PIT_DFW_96125
1267,ORD_SNA_104296
1268,IAH_OKC_57094
1269,BUF_ATL_66793
1270,SFO_PDX_99246
1271,SFO_PDX_93342
1272,ATL_RIC_104226
1273,IAD_CRW_87164
1274,IAH_LBB_68736
1275,IAH_MFE_81595
1276,ORD_MCO_91308
1277,IAH_MFE_62448
1278,CVG_OKC_89211
1279,LGA_SAV_89730
1280,LNK_DEN_77326
1281,IAD_SYR_88288
1282,MSY_ATL_101509
1283,ORD_MSP_105543
1284,PIT_LAS_102658
1285,ORD_CLE_97360
1286,MDW_BWI_79334
1287,LGA_ORD_77410
1288,BHM_MDW_75386
1289,LGA_FLL_92459
1290,BNA_LAX_74798
1291,DFW_PHX_104365
1292,BDL_MCO_100228
1293,CVG_SLC_57246
1294,BDL_MCO_79319
1295,IAH_BRO_79352
1296,IAH_SNA_85891
1297,BUF_TPA_102434
1298,BUR_SMF_104364
1299,CLE_GSP_86479
1300,RNO_LAX_58710
1301,BOS_LGA_70958
1302,MSP_MIA_63040
1303,XNA_SLC_67316
1304,CLE_GSP_73251
1305,CMH_ORD_61215
1306,LGA_BHM_82786
1307,MSY_ATL_68239
1308,MCO_PIT_59356
1309,BOS_BWI_101254
1310,MSP_LGA_97421
1311,CMH_LAS_80366
1312,MSP_DCA_77449
1313,LGA_RDU_79686
1314,PIT_EWR_72779
1315,ABE_DTW_90911
1316,ORD_RIC_77660
1317,ATL_DTW_105252
1318,LGA_BOS_100207
1319,ORD_CLE_78418
1320,ATL_ISP_71279
1321,CHS_ATL_78064
1322,MEM_LAX_77981
1323,LAX_OAK_85492
1324,HOU_MCO_77328
1325,IAD_TPA_104319
1326,PDX_SMF_85384
1327,MHT_BWI_84970
1328,BNA_LGA_63582
1329,FLL_PHL_80063
1330,LAS_SFO_96832
1331,CVG_SLC_59093
1332,MKE_ATL_65081
1333,JFK_DEN_101903
1334,IAH_ATL_84578
1335,MSP_MDW_69087
1336,ORD_IAH_71035
1337,ATL_SAT_83906
1338,ATL_PHF_85025
1339,MDW_MSP_102448
1340,LGA_CLT_81843
1341,MCI_ATL_95038
1342,ORD_LEX_89560
1343,ORD_MCO_60270
1344,IAD_PVD_84604
1345,TPA_IAH_69434
1346,ORD_MCO_63802
1347,ORD_LEX_65297
1348,PIT_DTW_82718
1349,MSP_EWR_60996
1350,ORD_SEA_105105
1351,EWR_FLL_91583
1352,LGA_STL_76067
1353,ORD_EWR_80908
1354,SLC_ORD_64324
1355,SHV_ATL_68969
1356,DCA_BOS_102438
1357,BOS_BWI_103594
1358,DTW_BOS_74649
1359,LIT_DFW_59456
1360,JFK_MIA_56865
1361,ATL_ISP_92379
1362,DFW_BWI_99423
1363,LGA_CLE_60260
1364,BDL_ORD_92408
1365,PHX_AUS_79546
1366,DFW_CLE_91421
1367,SMF_PHX_96581
1368,BOS_TPA_91841
1369,DSM_ORD_84798
1370,CLE_MDW_65562
1371,EWR_LAS_78170
1372,HOU_TPA_84639
1373,BOS_MIA_98481
1374,MSP_SLC_83657
1375,CMH_EWR_85399
1376,IAH_ORD_93229
1377,MSP_ORD_102928
1378,CLE_MDW_99242
1379,CLE_MDW_98714
1380,LAS_BUR_63572
1381,BOS_JFK_69786
1382,MDW_BHM_82098
1383,TUS_LAS_64941
1384,BOS_TPA_73357
1385,SAN_SMF_92221
1386,MDW_MSP_93788
1387,PHX_ELP_103319
1388,BOS_JFK_69110
1389,MSP_IAD_90349
1390,CVG_PHL_71005
1391,BOS_EWR_103440
1392,BOS_JFK_86619
1393,EWR_RIC_86395
1394,ATL_IAD_63842
1395,CMH_EWR_76125
1396,ATL_LGA_65718
1397,MCI_DFW_64907
1398,CLT_BWI_97838
1399,DFW_SEA_65849
1400,HPN_ORD_79784
1401,CLE_ATL_64474
1402,GSP_DTW_59391
1403,ATL_LYH_100620
1404,ATL_IAH_73870
1405,STL_DFW_84908
1406,DCA_IAH_70329
1407,ORF_CVG_100432
1408,LAX_SJC_74576
1409,BOS_ATL_67700
1410,DTW_DFW_73654
1411,MSY_JFK_69777
1412,GSO_TPA_98067
1413,MCO_ISP_81143
1414,SJC_DEN_59958
1415,TPA_IND_71114
1416,STL_SFO_79781
1417,DFW_SAN_57184
1418,ATL_DEN_78291
1419,PHL_RDU_78591
1420,FLL_DFW_92282
1421,CVG_IAD_88072
1422,BDL_RDU_58993
1423,BOS_RDU_67806
1424,TPA_LAS_86430
1425,ATL_PBI_95418
1426,GSO_TPA_72959
1427,ORD_PVD_102911
1428,IAH_SAN_102660
1429,OME_ANC_67208
1430,SLC_SEA_67569
1431,STL_DCA_86836
1432,MCI_DTW_60140
1433,SRQ_IAH_74632
1434,MSP_ORD_93932
1435,MSP_LAS_80137
1436,OME_ANC_76285
1437,CVG_MSP_95392
1438,ATL_SNA_59069
1439,DFW_SAT_68454
1440,ROC_ATL_73254
1441,SAV_ATL_78795
1442,GEG_PHX_87155
1443,XNA_ORD_76250
1444,BWI_ATL_80189
1445,EWR_IAH_88053
1446,OME_ANC_68670
1447,RSW_MDW_77075
1448,MEM_GPT_73879
1449,LGA_CHS_99783
1450,CVG_JAX_103278
1451,MSP_ATL_57153
1452,CVG_JAX_99694
1453,MCO_ATL_78150
1454,CLT_LAS_75288
1455,RSW_DEN_58129
1456,OAK_ONT_70110
1457,DFW_TUL_64109
1458,HOU_MSY_65148
1459,CLT_PHL_93628
1460,MCO_SFO_85346
1461,BWI_RSW_74211
1462,JFK_MCO_79864
1463,IAH_BNA_60583
1464,MSP_RDU_89609
1465,MKE_MCO_67819
1466,DCA_ATL_56939
1467,MCO_CVG_67751
1468,SJU_JFK_91566
1469,DCA_ORD_90865
1470,CLT_PHL_70217
1471,BOS_GSO_101557
1472,JFK_MCO_97228
1473,DEN_MSO_67036
1474,SJU_MCO_63212
1475,BWI_DTW_97663
1476,SFO_OGG_70990
1477,JFK_LAX_82794
1478,IAH_JAX_83804
1479,DSM_ORD_71129
1480,IAH_PSP_91093
1481,IND_ATL_100915
1482,BOS_PHL_76688
1483,PHL_DFW_104438
1484,DEN_SFO_65003
1485,CLE_LGA_58775
1486,ATL_ORD_102025
1487,LAX_SBP_66520
1488,SDF_ORD_85995
1489,MSP_BOS_70641
1490,SJU_BOS_64226
1491,FLL_BOS_57957
1492,LAS_SNA_66283
1493,OMA_DEN_63001
1494,LGB_OAK_85786
1495,DFW_ORF_84257
1496,LAX_SBP_66007
1497,IND_DCA_100121
1498,JFK_RSW_70242
1499,BDL_DFW_72135
1500,MCO_BDL_93973
1501,MCO_DFW_58526
1502,SAN_OAK_102769
1503,MCO_DFW_68807
1504,CLT_ATL_100114
1505,PHX_MDW_93315
1506,MSP_LAS_66880
1507,JFK_PBI_62052
1508,SMF_PDX_76933
1509,CLT_ORD_70042
1510,LAX_SBP_72191
1511,CLT_EWR_102675
1512,MIA_IAH_73397
1513,LGB_OAK_90225
1514,ORD_EWR_58616
1515,EUG_SFO_59615
1516,DCA_MCO_82110
1517,BOS_PHL_76891
1518,DFW_LAX_103901
1519,SMF_LAS_96288
1520,MIA_DTW_70121
1521,DFW_TXK_97207
1522,MSP_SMF_84620
1523,ATL_DFW_60978
1524,ORF_DTW_73066
1525,STL_SAN_78562
1526,IAD_DTW_82330
1527,DAL_IAH_97178
1528,ORD_LAS_102247
1529,JAX_CVG_77447
1530,TUS_DEN_91521
1531,LAX_DFW_62693
1532,MEM_LAX_93292
1533,TUL_DFW_61921
1534,PHL_SJU_105111
1535,MSP_SJC_57547
1536,IAH_LAX_95466
1537,MSP_TPA_68825
1538,SJU_ATL_90900
1539,LIT_IAH_57619
1540,IAH_LAX_95063
1541,BWI_IND_65231
1542,JFK_SAN_84389
1543,LGA_BOS_102553
1544,CLE_DFW_89547
1545,DTW_LAX_70743
1546,OAK_SAN_57823
1547,SLC_PHX_69553
1548,AUS_DFW_92043
1549,LAS_TUS_56887
1550,SJC_LAS_72252
1551,RNO_DEN_62126
1552,SLC_BOI_72431
1553,MIA_ORD_66532
1554,DCA_DEN_75975
1555,MCO_BNA_87167
1556,MCO_EWR_79772
1557,CVG_RIC_74991
1558,IAD_SFO_84256
1559,OAK_SAN_72108
1560,OAK_SAN_60236
1561,MEM_DFW_85763
1562,SFO_SEA_56948
1563,CHS_ATL_103885
1564,LGA_BOS_59146
1565,MEI_ATL_85993
1566,CLE_SFO_87330
1567,MEM_DFW_105113
1568,CVG_BNA_104876
1569,BOS_RDU_97395
1570,IAD_CVG_91359
1571,DCA_FLL_71274
1572,ORF_EWR_83120
1573,MSP_SFO_64609
1574,DFW_BOS_81516
1575,XNA_ATL_97234
1576,BOS_SJU_78039
1577,MIA_IAD_100855
1578,DFW_DCA_81618
1579,ALB_DTW_62483
1580,PVD_ATL_104496
1581,MSP_ONT_58934
1582,ATL_EWR_80830
1583,ATL_ROC_81094
1584,PIT_PHL_57097
1585,ORD_BNA_82174
1586,SYR_EWR_59075
1587,BOS_SJU_73995
1588,PHF_ATL_81391
1589,IAH_MCO_98899
1590,DFW_MFE_62032
1591,IAH_OAK_96437
1592,RDU_CVG_80821
1593,BWI_ROC_74192
1594,SAN_SEA_63226
1595,SBP_SFO_91480
1596,EWR_SEA_83544
1597,BWI_DTW_66148
1598,IAD_SEA_62370
1599,LGA_DCA_85568
1600,DFW_SAN_63406
1601,RNO_PHX_73569
1602,MEM_SFO_85725
1603,IAD_EWR_97999
1604,BNA_SAN_86858
1605,BNA_HOU_78537
1606,JFK_SJC_66634
1607,DCA_BOS_69075
1608,AUS_ATL_70400
1609,DFW_GRR_84342
1610,ORD_DSM_101438
1611,ORD_MDT_85516
1612,ORD_MDT_79476
1613,MSP_SFO_78551
1614,JFK_RDU_61450
1615,PVD_DTW_61111
1616,JFK_RDU_71731
1617,DFW_FLL_95453
1618,IND_ORD_61267
1619,BHM_LGA_83693
1620,PDX_DEN_72275
1621,IAH_LAS_101433
1622,MSP_PSP_83762
1623,MDT_CVG_79533
1624,PHL_LAX_104475
1625,ORD_LAS_66622
1626,TVC_ORD_85537
1627,SAN_SJC_85603
1628,AUS_PHX_62824
1629,AUS_PHX_71816
1630,JAN_DCA_103091
1631,ABQ_PHX_58124
1632,RIC_ATL_73343
1633,CLT_ORD_102734
1634,MSY_ORD_59983
1635,TPA_DEN_77648
1636,TPA_DEN_56898
1637,CVG_MKE_75064
1638,DFW_ATL_74633
1639,DFW_PIT_98730
1640,MEM_DTW_97074
1641,DFW_BWI_95648
1642,JFK_DTW_65008
1643,ATL_DFW_78834
1644,RAP_DEN_95511
1645,OMA_ATL_89366
1646,PHL_DTW_72528
1647,LGA_PHF_74092
1648,ORD_SAT_83465
1649,PHX_DFW_80165
1650,MRY_LAX_62925
1651,SNA_DEN_58753
1652,DTW_JAX_81195
1653,MEM_SFO_63588
1654,BOS_DCA_83668
1655,MCO_BWI_68247
1656,SLC_LAS_93275
1657,DEN_IAD_104721
1658,MDW_JAN_95953
1659,PDX_DEN_101273
1660,ELP_DAL_93221
1661,OAK_BUR_97032
1662,PHL_ORD_72955
1663,TPA_PVD_101917
1664,PHX_SMF_58930
1665,ELP_DAL_66261
1666,BHM_TPA_75681
1667,MDW_BWI_84779
1668,LBB_DFW_88447
1669,IAH_SFO_64119
1670,DTW_LAX_81530
1671,PHL_DTW_84500
1672,CVG_DAB_85024
1673,DEN_PHX_59253
1674,SLC_RAP_66390
1675,IAH_PHX_77856
1676,IAD_LAX_87076
1677,ORD_PNS_66219
1678,BOS_CVG_96316
1679,DEN_DFW_60824
1680,STL_TPA_97214
1681,DCA_BDL_60585
1682,ATL_DSM_62845
1683,ORD_SAN_93735
1684,TUS_DEN_75913
1685,AMA_DFW_71018
1686,ATL_LAS_59453
1687,DFW_SLC_76463
1688,IAH_BFL_63464
1689,DFW_SMF_94760
1690,IAH_BFL_79477
1691,MCI_BWI_79138
1692,DCA_BOS_59747
1693,SMF_SNA_71878
1694,DFW_LAS_101902
1695,CMH_DTW_68606
1696,COS_ORD_57546
1697,PHL_MHT_67072
1698,HOU_BNA_72976
1699,DCA_BOS_74629
1700,COS_ORD_70434
1701,COD_SLC_83885
1702,TUS_LAX_67502
1703,MHT_MCO_80853
1704,DCA_BOS_61726
1705,ORD_SAN_105151
1706,IAH_BFL_93868
1707,JFK_PNS_103081
1708,IAH_ORD_74957
1709,BOS_CLT_94802
1710,DEN_CLT_80804
1711,BOS_PIT_96842
1712,LGA_ATL_81693
1713,MSP_DTW_73904
1714,BOS_CVG_101183
1715,MSP_DTW_104132
1716,PIT_PHX_63963
1717,ONT_DEN_71429
1718,LGA_ORD_60008
1719,IAH_IND_72146
1720,BOS_SEA_60860
1721,PVD_MCO_99325
1722,DFW_RNO_75637
1723,SLC_OKC_99305
1724,ORD_SNA_77000
1725,SJC_SBA_69932
1726,STL_ATL_82031
1727,MCO_DFW_89735
1728,SAT_EWR_101845
1729,BWI_SAT_87630
1730,SEA_DEN_97283
1731,DEN_SLC_84518
1732,PHL_MHT_85687
1733,PVD_PHL_75939
1734,IAD_PBI_84690
1735,LAS_PDX_75347
1736,HOU_BNA_98519
1737,IND_MCO_84890
1738,DEN_SLC_60328
1739,LAS_BOI_62524
1740,DAL_LBB_87233
1741,MSP_ORD_62501
1742,SFO_LAX_90887
1743,CRW_ATL_79581
1744,MSP_EWR_90436
1745,RDU_LGA_100984
1746,LAS_ORD_68615
1747,PVD_PHL_92389
1748,CVG_SAV_72692
1749,ANC_SEA_82136
1750,MSP_MCO_86452
1751,ORD_RIC_100756
1752,MTJ_DEN_85142
1753,EWR_CHS_77610
1754,CVG_PBI_83347
1755,ORD_OMA_93218
1756,LGA_CLT_105034
1757,DCA_RDU_88640
1758,PHL_ORD_103845
1759,PIT_CLT_101885
1760,TPA_IAD_80636
1761,IND_LAS_103552
1762,MDW_BOS_86491
1763,ONT_DFW_83058
1764,SAT_CVG_96597
1765,LGA_DCA_74936
1766,LGA_BOS_88343
1767,ATL_SJU_61349
1768,SJC_SBA_61923
1769,MKE_LAS_94476
1770,MDW_EWR_103583
1771,DCA_MDW_70341
1772,DEN_MSP_82489
1773,BOS_LGA_60365
1774,CLE_CVG_57108
1775,FAT_SLC_88744
1776,TYS_ATL_98001
1777,ATL_TPA_80920
1778,XNA_DFW_66782
1779,MCI_DFW_101853
1780,CVG_PHX_69217
1781,CLE_CVG_76414
1782,IAH_SMF_87097
1783,MDW_ISP_67363
1784,ATL_ONT_73729
1785,SEA_HNL_65643
1786,ATL_PHL_101047
1787,LIT_ATL_73769
1788,MDW_MSP_88903
1789,SJC_SLC_66508
1790,RIC_LGA_68992
1791,MCO_LAX_104986
1792,ATL_SMF_57922
1793,PHX_SAN_88879
1794,CAK_ATL_66925
1795,IAD_DEN_99604
1796,PNS_DFW_97237
1797,SEA_DEN_73554
1798,MSP_MDW_62733
1799,CAE_ATL_88272
1800,CLT_BHM_95515
1801,SFO_LAX_105569
1802,SMF_DFW_79834
1803,BOI_PDX_79762
1804,MCI_BNA_84032
1805,DTW_MDW_104401
1806,CLT_FLL_83063
1807,LAN_CVG_90604
1808,BOS_MCO_67415
1809,JAX_FLL_59195
1810,LAS_ORD_74373
1811,ATL_LGA_100818
1812,EWR_SFO_73040
1813,ATL_MLB_95719
1814,ATL_AVP_83379
1815,ORD_CLE_59023
1816,IAD_CLT_57541
1817,MIA_PHL_85074
1818,IAD_RDU_86052
1819,IND_MCO_99672
1820,MDW_CVG_67567
1821,DCA_ORD_98933
1822,PIT_CLT_91719
1823,SLC_CVG_58172
1824,IAD_ORD_93313
1825,FLL_EWR_97435
1826,PIT_CLT_84153
1827,EWR_SEA_95494
1828,DFW_BUR_70870
1829,DFW_CLT_61884
1830,PVD_CVG_96133
1831,MIA_SJU_62431
1832,EWR_MSY_65352
1833,RDU_CLE_88676
1834,BDL_CVG_92225
1835,SAT_DFW_66923
1836,MYR_ATL_70510
1837,SLC_RAP_80494
1838,ATL_FWA_76395
1839,EWR_BNA_78513
1840,AGS_ATL_71391
1841,DEN_ORD_85794
1842,IAD_JFK_91660
1843,MSP_IND_85703
1844,IAD_GSO_60879
1845,DAY_ORD_96514
1846,EWR_ORD_67983
1847,IAD_EWR_70357
1848,SAT_DFW_103705
1849,IAD_JFK_75801
1850,IAD_GSO_86576
1851,LAS_SJC_95096
1852,PIT_PHL_103385
1853,BHM_HOU_68143
1854,BHM_LGA_60087
1855,LAS_PHX_81193
1856,RDU_JFK_81747
1857,MCI_SLC_95282
1858,MSY_BNA_88328
1859,PIT_RSW_75995
1860,CLE_SRQ_103185
1861,LGA_GSO_68577
1862,OMA_MDW_83059
1863,ABQ_ORD_91523
1864,ACV_SFO_60408
1865,MKE_CVG_70983
1866,DEN_CLE_97587
1867,PHL_ATL_98087
1868,ATL_SLC_101378
1869,DTW_EWR_68154
1870,SEA_SMF_92105
1871,CVG_FLL_99318
1872,CLT_BNA_57504
1873,CVG_FLL_92850
1874,TPA_GPT_73279
1875,IAH_DCA_71200
1876,ORD_BOS_88730
1877,ATL_PIT_80712
1878,ANC_BET_104596
1879,DFW_CLL_79269
1880,LAX_SEA_57517
1881,DFW_ONT_104703
1882,CAE_ATL_65783
1883,MSN_CVG_98109
1884,SEA_DFW_86417
1885,DCA_BNA_76969
1886,IAH_ATL_78892
1887,MCO_MSP_99303
1888,DEN_SAT_95323
1889,DTW_IAD_73609
1890,TPA_PNS_84591
1891,IAD_FLL_83607
1892,IAH_GPT_98932
1893,DFW_SGF_84431
1894,ONT_OAK_67691
1895,DTW_IAD_98516
1896,HOU_PHX_88471
1897,SAN_SMF_94607
1898,EWR_CAE_102516
1899,EWR_DAB_105128
1900,IAH_JAN_72265
1901,LAS_OAK_86453
1902,SJC_PHX_95306
1903,SLC_MSP_87431
1904,IAH_GPT_91570
1905,PHX_SNA_87448
1906,DTW_LGA_76642
1907,DEN_MSP_93389
1908,SNA_SJC_63892
1909,LGA_CLE_62836
1910,ORD_CVG_79442
1911,SFO_HNL_80684
1912,SLC_BUR_80589
1913,ORD_STL_61810
1914,ORD_CVG_85738
1915,MDW_SJC_93734
1916,SLC_AUS_58020
1917,EWR_RDU_97157
1918,EWR_CLE_58872
1919,ACV_SFO_97135
1920,ILM_ATL_90306
1921,IAD_ORD_72726
1922,DCA_ORD_85788
1923,CMH_IAD_72833
1924,PHL_CVG_67251
1925,IAD_MLB_103604
1926,IAD_ORD_73821
1927,BOS_PHL_97526
1928,BOS_PHL_84115
1929,PHX_LAX_101458
1930,ORD_IAD_61629
1931,IAH_DFW_77423
1932,DTW_PHL_57673
1933,BUF_CVG_100378
1934,LGA_CVG_71316
1935,ATL_SHV_82919
1936,IAH_DFW_102453
1937,IAD_GSO_88096
1938,DTW_RDU_75059
1939,PHX_LAX_81787
1940,IAH_PNS_105049
1941,EWR_DAB_66477
1942,IAH_PNS_59096
1943,ONT_SJC_68054
1944,LAS_MDW_68622
1945,ONT_PHX_70779
1946,SJC_DFW_84476
1947,TPA_IND_81937
1948,GSO_LGA_70904
1949,BOS_FLL_101708
1950,BWI_TPA_61432
1951,BDL_IAD_79976
1952,PHX_LAX_62194
1953,SAN_OAK_104719
1954,ALB_BWI_105101
1955,SLC_ORD_78189
1956,BDL_TPA_96517
1957,SJC_DFW_98653
1958,ORD_IAD_91539
1959,JFK_LAS_60784
1960,IAH_MOB_88720
1961,DFW_ICT_90616
1962,SEA_SFO_89801
1963,DAY_EWR_79520
1964,BNA_ATL_67140
1965,ORD_CLE_76442
1966,DEN_SAT_82515
1967,GSO_CVG_74757
1968,SBP_SFO_74927
1969,IAH_ATL_61647
1970,SAN_SJC_89269
1971,LAS_SLC_62753
1972,SLC_MSP_77725
1973,BOI_SFO_68436
1974,CLT_CVG_78201
1975,OMA_ORD_61366
1976,BWI_SJU_91572
1977,BOI_ORD_81334
1978,PHL_LAX_59250
1979,ORD_DFW_104736
1980,BOS_PBI_100426
1981,TVC_ORD_60168
1982,DCA_ATL_83640
1983,DFW_LGA_96933
1984,SLC_TUS_59518
1985,BNA_CVG_105481
1986,EWR_CLT_64696
1987,MSP_ORD_86901
1988,MIA_DCA_80648
1989,MCO_DFW_61276
1990,MEM_LGA_68081
1991,BDL_CLE_70161
1992,BNA_CVG_60458
1993,DEN_MSP_56810
1994,SFO_LAS_76592
1995,JFK_CHS_64766
1996,GRR_CVG_86232
1997,DCA_ATL_87259
1998,IAH_SLC_57235
1999,IAH_ATL_82636
2000,ATL_IAD_64981
2001,LAS_MDW_82279
2002,LAS_OAK_88245
2003,ATL_MKE_95834
2004,ABQ_DAL_59303
2005,EWR_IND_81483
2006,ISP_PBI_77378
2007,CLE_LGA_95907
2008,OAK_SAN_70534
2009,DTW_MIA_80059
2010,BOS_MCO_63060
2011,GRR_CVG_100455
2012,DFW_MKE_99470
2013,MCO_BNA_95864
2014,PHX_RNO_86954
2015,SAN_SJC_61772
2016,FCA_SLC_56856
2017,SAT_SLC_67112
2018,SAN_SJC_79244
2019,ORF_PHL_60523
2020,IAD_DEN_64908
2021,SAN_IAH_105021
2022,LAX_SAN_73129
2023,ATL_ALB_100729
2024,SAN_MSP_101839
2025,SAN_SLC_79487
2026,SLC_LAX_90176
2027,LAS_MSP_76745
2028,LGB_DFW_76965
2029,CAK_ATL_79854
2030,ORD_SGF_103698
2031,ORD_DEN_72599
2032,LGA_JAX_61748
2033,PHX_SJC_93666
2034,MFR_SFO_93805
2035,LAX_ANC_68731
2036,JFK_SJU_87139
2037,DFW_PHL_101250
2038,ATL_TPA_103417
2039,SLC_LAX_95737
2040,CHS_LGA_97783
2041,DEN_AUS_67643
2042,TUP_ATL_90231
2043,SLC_GEG_89504
2044,DTW_FLL_81639
2045,DTW_DCA_69331
2046,LAS_PHX_69000
2047,SEA_LAS_71842
2048,DEN_LAS_91585
2049,SEA_SAN_87275
2050,ATL_CRW_76476
2051,OKC_HOU_68275
2052,BOS_LGA_96778
2053,BWI_JAN_89999
2054,HOU_BHM_104087
2055,SAT_LAS_105193
2056,TUL_LAS_92497
2057,ATL_SAN_103982
2058,OAK_BUR_73220
2059,LGA_CHS_92279
2060,RDU_DFW_79119
2061,IAD_ATL_101493
2062,OAK_SAN_68596
2063,ABQ_DFW_57280
2064,TPA_JFK_92031
2065,ATL_PHL_88322
2066,FLL_DFW_67646
2067,DFW_MKE_68498
2068,DEN_MDW_59551
2069,SLC_ONT_73221
2070,MEM_PHL_85899
2071,SNA_LAS_88502
2072,DCA_LAX_61019
