FlightNumber,Year,Month,DayofMonth,DayOfWeek,ScheduledDepTime,ScheduledArrTime,ScheduledTravelTime,Origin,Destination,Distance,ActualArrivalTimeStamp
RNO_LAX_49748,2004,7,14,3,1440,1600,80,RNO,LAX,390,14-07-2004 16:00
ORD_LNK_51232,2004,11,5,5,839,1018,99,ORD,LNK,466,05-11-2004 10:18
ATL_MKE_32871,2004,11,5,5,1719,1825,126,ATL,MKE,669,05-11-2004 18:25
CLT_PHL_32330,2004,3,24,3,845,1024,99,CLT,PHL,448,24-03-2004 10:24
DCA_JFK_51354,2004,5,12,3,1455,1601,66,DCA,JFK,213,12-05-2004 16:01
OKC_EWR_54478,2004,11,23,2,1325,1735,190,OKC,EWR,1325,23-11-2004 18:11
SAT_DFW_42550,2004,9,10,5,1143,1252,69,SAT,DFW,247,10-09-2004 12:52
TPA_EWR_34613,2004,5,9,7,1200,1442,162,TPA,EWR,998,09-05-2004 14:42
LAX_PHX_31235,2004,3,11,4,700,925,85,LAX,PHX,370,11-03-2004 10:10
ATL_HTS_40088,2004,5,10,1,1026,1148,82,ATL,HTS,342,10-05-2004 13:15
ORF_EWR_54421,2004,9,11,6,1715,1845,90,ORF,EWR,284,11-09-2004 18:45
BOS_DTW_52664,2004,7,2,5,1615,1821,126,BOS,DTW,632,02-07-2004 18:21
BNA_TPA_26674,2004,7,25,7,925,1205,100,BNA,TPA,612,25-07-2004 12:05
MDT_CLE_41334,2004,9,22,3,710,818,68,MDT,CLE,280,22-09-2004 08:18
DEN_TPA_32191,2004,7,17,6,1015,1536,201,DEN,TPA,1506,17-07-2004 15:36
SNA_OAK_44859,2004,5,3,1,1641,1804,83,SNA,OAK,371,03-05-2004 18:04
PNS_ATL_43618,2004,3,22,1,630,842,72,PNS,ATL,272,22-03-2004 08:42
EWR_ORD_32592,2004,11,20,6,1245,1417,152,EWR,ORD,719,20-11-2004 14:17
PIT_DFW_28170,2004,5,16,7,1150,1351,181,PIT,DFW,1068,16-05-2004 13:51
BWI_MSP_44423,2004,5,25,2,1430,1608,158,BWI,MSP,936,25-05-2004 16:08
LAX_MRY_54788,2004,3,5,5,1035,1201,86,LAX,MRY,267,05-03-2004 12:01
ORD_CLT_40934,2004,7,31,6,1122,1404,102,ORD,CLT,599,31-07-2004 14:04
STL_HOU_25860,2004,3,12,5,1500,1710,130,STL,HOU,687,12-03-2004 17:10
ATL_AUS_28718,2004,5,31,1,1735,1911,156,ATL,AUS,813,31-05-2004 21:11
EWR_LAX_52681,2004,3,16,2,1750,2102,372,EWR,LAX,2454,16-03-2004 23:22
LAX_LAS_29970,2004,11,15,1,900,1005,65,LAX,LAS,236,15-11-2004 10:05
MSP_TPA_44270,2004,9,26,7,712,1111,179,MSP,TPA,1307,26-09-2004 11:11
SEA_ATL_55158,2004,1,3,6,700,1433,273,SEA,ATL,2182,03-01-2004 16:25
SDF_DTW_45888,2004,7,31,6,1450,1610,80,SDF,DTW,306,31-07-2004 16:10
DFW_BOS_42291,2004,11,24,3,1534,2001,207,DFW,BOS,1562,24-11-2004 20:01
PDX_SAN_43766,2004,5,5,3,1020,1240,140,PDX,SAN,933,05-05-2004 12:40
SEA_LAS_26533,2004,3,26,5,1402,1618,136,SEA,LAS,866,26-03-2004 16:18
AUS_ATL_31034,2004,5,8,6,1023,1328,125,AUS,ATL,813,08-05-2004 13:28
IAD_JFK_49052,2004,11,30,2,915,1035,80,IAD,JFK,228,30-11-2004 10:35
LBB_DFW_41702,2004,11,5,5,1115,1221,66,LBB,DFW,282,05-11-2004 12:21
EWR_RDU_48105,2004,9,10,5,840,1024,104,EWR,RDU,416,10-09-2004 10:24
TPA_PIT_54491,2004,7,5,1,1430,1652,142,TPA,PIT,873,05-07-2004 16:52
MIA_ORD_47349,2004,11,16,2,835,1054,199,MIA,ORD,1197,16-11-2004 10:54
BOS_MIA_33422,2004,9,5,7,730,1045,195,BOS,MIA,1258,05-09-2004 10:45
CVG_MCO_28479,2004,9,14,2,1450,1659,129,CVG,MCO,756,14-09-2004 16:59
DCA_PBI_39130,2004,5,26,3,845,1109,144,DCA,PBI,857,26-05-2004 11:09
DFW_ABQ_29267,2004,7,28,3,1555,1648,113,DFW,ABQ,569,28-07-2004 16:48
PVD_DCA_37507,2004,3,18,4,630,800,90,PVD,DCA,357,18-03-2004 10:05
ORD_FLL_27629,2004,5,2,7,650,1059,189,ORD,FLL,1182,02-05-2004 10:59
CVG_BTV_47347,2004,5,26,3,1510,1709,119,CVG,BTV,702,26-05-2004 18:21
SJT_DFW_26543,2004,11,13,6,1140,1300,80,SJT,DFW,228,13-11-2004 13:00
LGA_CLT_51303,2004,7,15,4,1300,1452,112,LGA,CLT,544,15-07-2004 14:52
IAH_CVG_32437,2004,11,3,3,1446,1811,145,IAH,CVG,871,03-11-2004 18:11
ATL_DHN_54300,2004,9,19,7,1551,1557,66,ATL,DHN,171,19-09-2004 15:57
ONT_DFW_53023,2004,9,2,4,1010,1510,180,ONT,DFW,1189,02-09-2004 15:10
EWR_PHX_52090,2004,3,5,5,1655,2033,338,EWR,PHX,2133,05-03-2004 20:33
JFK_SAN_38957,2004,9,18,6,645,938,353,JFK,SAN,2446,18-09-2004 09:38
SMF_SNA_28187,2004,11,19,5,650,815,85,SMF,SNA,404,19-11-2004 10:07
LGA_GSP_53203,2004,11,16,2,1644,1845,121,LGA,GSP,610,16-11-2004 18:45
SDF_BWI_55154,2004,5,7,5,1715,1845,90,SDF,BWI,495,07-05-2004 18:45
DFW_BTR_45215,2004,9,20,1,1726,1848,82,DFW,BTR,383,20-09-2004 18:48
DFW_DCA_53447,2004,3,26,5,741,1130,169,DFW,DCA,1192,26-03-2004 11:30
DEN_CLE_45679,2004,11,1,1,1300,1739,159,DEN,CLE,1201,01-11-2004 17:39
ATL_STL_52102,2004,7,15,4,1437,1515,98,ATL,STL,483,15-07-2004 15:15
HOU_MDW_52451,2004,7,21,3,1055,1320,145,HOU,MDW,937,21-07-2004 16:20
CLE_ORD_32537,2004,7,2,5,815,841,86,CLE,ORD,316,02-07-2004 08:41
DTW_LGA_38129,2004,11,5,5,1340,1521,101,DTW,LGA,501,05-11-2004 15:21
ACY_CVG_45974,2004,7,5,1,1745,1936,111,ACY,CVG,542,05-07-2004 19:36
MCI_PHX_39812,2004,7,2,5,1735,1823,168,MCI,PHX,1044,02-07-2004 18:23
SEA_DFW_39755,2004,11,22,1,1341,1924,223,SEA,DFW,1660,22-11-2004 22:18
MDW_LAS_51577,2004,3,2,2,1110,1310,240,MDW,LAS,1521,02-03-2004 15:02
ORD_DCA_33985,2004,5,28,5,1500,1759,119,ORD,DCA,612,28-05-2004 17:59
MEM_ATL_46489,2004,7,21,3,615,830,75,MEM,ATL,332,21-07-2004 08:30
SFO_HNL_38310,2004,5,29,6,1630,1847,317,SFO,HNL,2398,29-05-2004 18:47
SFO_LAX_46633,2004,11,20,6,1705,1823,78,SFO,LAX,337,20-11-2004 18:23
BWI_PVD_36285,2004,9,30,4,940,1050,70,BWI,PVD,328,30-09-2004 10:50
DFW_ATL_49955,2004,5,13,4,1710,2020,130,DFW,ATL,732,13-05-2004 22:05
SLC_SAN_32698,2004,7,31,6,845,935,110,SLC,SAN,626,31-07-2004 09:35
RDD_SFO_50877,2004,11,19,5,1610,1718,68,RDD,SFO,199,19-11-2004 17:18
MDW_MHT_33317,2004,11,12,5,905,1210,125,MDW,MHT,838,12-11-2004 12:10
CLE_MDW_28625,2004,7,6,2,1425,1435,70,CLE,MDW,307,06-07-2004 14:35
ORD_SNA_28669,2004,1,4,7,1042,1303,261,ORD,SNA,1726,04-01-2004 16:03
IAH_SAN_29184,2004,9,23,4,1745,1903,198,IAH,SAN,1303,23-09-2004 19:03
DFW_MEM_48538,2004,3,28,7,702,829,87,DFW,MEM,432,28-03-2004 10:36
BQK_ATL_45547,2004,7,29,4,1139,1242,63,BQK,ATL,238,29-07-2004 14:24
PHX_DFW_43233,2004,9,30,4,1405,1832,147,PHX,DFW,868,30-09-2004 18:32
MHT_CVG_41621,2004,5,10,1,1310,1532,142,MHT,CVG,741,10-05-2004 15:32
ALB_BWI_28627,2004,11,26,5,1605,1720,75,ALB,BWI,288,26-11-2004 17:20
AUS_DFW_33627,2004,5,24,1,730,833,63,AUS,DFW,190,24-05-2004 08:33
ORF_DTW_30099,2004,9,24,5,915,1108,113,ORF,DTW,529,24-09-2004 11:08
DEN_BOI_40476,2004,11,1,1,1715,1914,119,DEN,BOI,649,01-11-2004 19:14
EWR_MKE_43156,2004,7,18,7,1420,1533,133,EWR,MKE,725,18-07-2004 15:33
ATL_BUF_34347,2004,11,12,5,1530,1730,120,ATL,BUF,712,12-11-2004 17:30
CVG_DFW_33942,2004,11,13,6,620,752,152,CVG,DFW,812,13-11-2004 07:52
DFW_STL_45934,2004,9,22,3,1200,1344,104,DFW,STL,551,22-09-2004 13:44
ORD_OKC_39573,2004,11,14,7,1311,1516,125,ORD,OKC,693,14-11-2004 15:16
BNA_LGA_50080,2004,1,4,7,1415,1725,130,BNA,LGA,764,04-01-2004 17:25
ORD_AUS_51210,2004,11,29,1,1044,1328,164,ORD,AUS,978,29-11-2004 13:28
PVD_PHX_33565,2004,3,31,3,1505,1910,365,PVD,PHX,2277,31-03-2004 20:09
RNO_PHX_36979,2004,9,25,6,1236,1415,99,RNO,PHX,601,25-09-2004 14:15
PIT_CLT_26809,2004,9,3,5,600,721,81,PIT,CLT,366,03-09-2004 07:21
SFO_EUG_51302,2004,7,17,6,840,1003,83,SFO,EUG,451,17-07-2004 10:03
BFL_SFO_49451,2004,9,27,1,1745,1855,70,BFL,SFO,238,27-09-2004 18:55
IAH_ATL_48404,2004,7,15,4,635,938,123,IAH,ATL,689,15-07-2004 09:38
DSM_ORD_48138,2004,9,15,3,1555,1714,79,DSM,ORD,299,15-09-2004 17:14
ATL_CAK_31012,2004,11,15,1,1525,1705,100,ATL,CAK,528,15-11-2004 17:05
DSM_ATL_44515,2004,5,19,3,1740,2046,126,DSM,ATL,743,19-05-2004 20:46
DTW_EWR_46451,2004,7,18,7,1155,1329,94,DTW,EWR,487,18-07-2004 13:29
DFW_BHM_43828,2004,9,6,1,1040,1223,103,DFW,BHM,597,06-09-2004 12:23
ORD_IAD_29510,2004,11,27,6,1100,1344,104,ORD,IAD,589,27-11-2004 13:44
BOS_SJU_43522,2004,9,5,7,705,1102,237,BOS,SJU,1674,05-09-2004 11:02
ATL_IAH_30736,2004,5,21,5,1125,1228,123,ATL,IAH,689,21-05-2004 12:28
ORD_MCI_40214,2004,1,3,6,815,942,87,ORD,MCI,403,03-01-2004 09:42
LGA_ATL_40031,2004,11,29,1,700,937,157,LGA,ATL,761,29-11-2004 09:37
BOI_SFO_28575,2004,3,21,7,655,734,99,BOI,SFO,522,21-03-2004 07:34
LAX_DFW_31181,2004,7,7,3,1415,1931,196,LAX,DFW,1235,07-07-2004 19:31
IAD_EWR_40300,2004,5,14,5,840,957,77,IAD,EWR,213,14-05-2004 09:57
ORF_CVG_31171,2004,11,3,3,1340,1522,102,ORF,CVG,485,03-11-2004 15:22
DTW_ATL_38072,2004,11,20,6,1518,1713,115,DTW,ATL,594,20-11-2004 18:42
JFK_FLL_54933,2004,5,8,6,1020,1310,170,JFK,FLL,1069,08-05-2004 13:10
ORD_ATL_25839,2004,5,30,7,1055,1349,114,ORD,ATL,606,30-05-2004 16:46
ATL_DFW_42646,2004,9,9,4,1123,1234,131,ATL,DFW,732,09-09-2004 12:34
MSP_LGA_26387,2004,5,9,7,702,1035,153,MSP,LGA,1020,09-05-2004 10:35
MSP_EWR_52539,2004,3,3,3,1415,1750,155,MSP,EWR,1008,03-03-2004 18:56
CHS_CVG_35052,2004,5,17,1,1605,1756,111,CHS,CVG,497,17-05-2004 17:56
MSP_ORD_50771,2004,9,2,4,915,1035,80,MSP,ORD,334,02-09-2004 10:35
ATL_DFW_33369,2004,5,17,1,1703,1825,142,ATL,DFW,732,17-05-2004 18:25
LAX_DEN_49717,2004,3,28,7,1701,2015,134,LAX,DEN,862,28-03-2004 20:15
ORF_JFK_37205,2004,7,7,3,1525,1643,78,ORF,JFK,289,07-07-2004 16:43
SYR_ORD_26495,2004,11,19,5,600,710,130,SYR,ORD,607,19-11-2004 07:10
GTR_ATL_55666,2004,11,24,3,1410,1624,74,GTR,ATL,241,24-11-2004 16:24
DEN_SBA_47277,2004,1,4,7,1720,1855,155,DEN,SBA,916,04-01-2004 18:55
ORD_DTW_50198,2004,11,23,2,705,923,78,ORD,DTW,235,23-11-2004 12:13
OAK_SAN_29543,2004,9,4,6,1615,1740,85,OAK,SAN,446,04-09-2004 17:40
GRR_ATL_41226,2004,5,6,4,1230,1445,135,GRR,ATL,640,06-05-2004 14:45
CVG_IAD_51184,2004,9,26,7,655,817,82,CVG,IAD,388,26-09-2004 08:17
ORD_ALB_43071,2004,5,14,5,955,1245,110,ORD,ALB,723,14-05-2004 13:12
SFO_DFW_33883,2004,5,11,2,1310,1838,208,SFO,DFW,1464,11-05-2004 18:38
MIA_CVG_27792,2004,7,10,6,1529,1820,171,MIA,CVG,948,10-07-2004 18:20
ATL_RDU_52455,2004,7,8,4,1125,1245,80,ATL,RDU,356,08-07-2004 12:45
TPA_DCA_29462,2004,7,12,1,1755,2008,133,TPA,DCA,814,12-07-2004 20:08
ATL_LIT_37760,2004,9,4,6,824,859,95,ATL,LIT,453,04-09-2004 11:19
IAH_STL_45238,2004,5,30,7,1550,1753,123,IAH,STL,668,30-05-2004 17:53
EWR_LAX_28785,2004,3,10,3,820,1124,364,EWR,LAX,2454,10-03-2004 11:24
DTW_ORD_37866,2004,11,19,5,1702,1715,73,DTW,ORD,235,19-11-2004 19:10
GTR_ATL_54197,2004,7,5,1,630,843,73,GTR,ATL,241,05-07-2004 08:43
DSM_ORD_39430,2004,11,30,2,1030,1147,77,DSM,ORD,299,30-11-2004 14:06
PHX_CLE_49641,2004,5,18,2,1445,2130,225,PHX,CLE,1737,18-05-2004 21:30
SFO_ACV_39320,2004,11,2,2,1430,1545,75,SFO,ACV,250,02-11-2004 15:45
DFW_BNA_27498,2004,5,4,2,936,1124,108,DFW,BNA,631,04-05-2004 11:24
BFL_SFO_34914,2004,7,9,5,1745,1853,68,BFL,SFO,238,09-07-2004 18:53
IAH_ORD_35742,2004,11,14,7,900,1146,166,IAH,ORD,925,14-11-2004 11:46
MCO_STL_53793,2004,9,23,4,1210,1335,145,MCO,STL,880,23-09-2004 13:35
PHL_SJU_40430,2004,5,18,2,1735,2117,222,PHL,SJU,1576,18-05-2004 21:17
CHS_EWR_36646,2004,9,1,3,1715,1922,127,CHS,EWR,628,01-09-2004 19:22
ATL_ABY_50637,2004,9,30,4,836,940,64,ATL,ABY,146,30-09-2004 09:40
ATL_DFW_51177,2004,3,23,2,925,1044,139,ATL,DFW,732,23-03-2004 10:44
LGA_MDW_27332,2004,11,4,4,1345,1500,135,LGA,MDW,725,04-11-2004 17:40
JFK_MCO_49012,2004,5,2,7,1015,1248,153,JFK,MCO,944,02-05-2004 12:48
ROC_ATL_40544,2004,3,15,1,954,1158,124,ROC,ATL,749,15-03-2004 11:58
SJC_SAN_47621,2004,9,19,7,835,955,80,SJC,SAN,417,19-09-2004 09:55
GTF_SLC_36399,2004,3,13,6,1045,1205,80,GTF,SLC,463,13-03-2004 12:05
ORD_LGA_50015,2004,5,2,7,1100,1408,128,ORD,LGA,733,02-05-2004 14:08
ATL_TPA_47279,2004,3,25,4,1755,1927,92,ATL,TPA,406,25-03-2004 19:27
SJT_IAH_50611,2004,11,20,6,1050,1220,90,SJT,IAH,321,20-11-2004 14:15
IAH_ATL_55622,2004,7,7,3,530,855,145,IAH,ATL,689,07-07-2004 08:55
MHT_MCO_35265,2004,1,1,4,1115,1430,195,MHT,MCO,1142,01-01-2004 14:30
PHX_ORD_48597,2004,9,17,5,1109,1635,206,PHX,ORD,1440,17-09-2004 16:35
PHX_ORD_51844,2004,7,24,6,1253,1821,208,PHX,ORD,1440,24-07-2004 18:21
ORD_MCO_28200,2004,1,2,5,940,1311,151,ORD,MCO,1005,02-01-2004 13:47
DEN_ORD_41904,2004,5,30,7,635,949,134,DEN,ORD,888,30-05-2004 09:49
ISP_CVG_47041,2004,11,1,1,1315,1534,139,ISP,CVG,626,01-11-2004 15:34
ORD_BNA_30706,2004,5,11,2,650,820,90,ORD,BNA,409,11-05-2004 10:10
MCI_DFW_29030,2004,3,27,6,820,1004,104,MCI,DFW,460,27-03-2004 10:04
ONT_PHX_29498,2004,11,22,1,825,1035,70,ONT,PHX,325,22-11-2004 10:35
JFK_LGB_46883,2004,9,25,6,745,1044,359,JFK,LGB,2465,25-09-2004 10:44
CLT_DEN_38918,2004,7,30,5,800,923,203,CLT,DEN,1337,30-07-2004 09:23
BNA_ATL_30309,2004,9,27,1,1105,1308,63,BNA,ATL,214,27-09-2004 13:08
PVD_DTW_50805,2004,5,30,7,602,800,118,PVD,DTW,614,30-05-2004 08:00
BOS_CLT_54586,2004,3,17,3,1650,1913,143,BOS,CLT,728,17-03-2004 21:59
SDF_IAD_30328,2004,11,11,4,1000,1131,91,SDF,IAD,451,11-11-2004 11:31
ATL_CLT_36380,2004,5,5,3,1007,1113,66,ATL,CLT,227,05-05-2004 11:13
DFW_FLL_33168,2004,5,6,4,1130,1516,166,DFW,FLL,1119,06-05-2004 15:16
DEN_PHX_32197,2004,11,19,5,1125,1323,118,DEN,PHX,602,19-11-2004 13:23
PHL_JAX_47465,2004,3,1,1,1745,2005,140,PHL,JAX,742,01-03-2004 20:05
IAH_DFW_54025,2004,5,29,6,700,805,65,IAH,DFW,224,29-05-2004 08:05
DEN_SMF_51652,2004,7,16,5,1445,1610,145,DEN,SMF,910,16-07-2004 16:10
RDU_MIA_35278,2004,7,11,7,640,842,122,RDU,MIA,700,11-07-2004 10:42
LAX_SFO_34713,2004,9,6,1,740,859,79,LAX,SFO,337,06-09-2004 08:59
ATL_ORD_47095,2004,9,16,4,945,1101,136,ATL,ORD,606,16-09-2004 11:01
MDW_MSP_35677,2004,9,30,4,1745,1925,100,MDW,MSP,349,30-09-2004 19:25
CLT_MHT_52369,2004,7,6,2,1615,1822,127,CLT,MHT,737,06-07-2004 18:22
TPA_MIA_32883,2004,11,9,2,1337,1440,63,TPA,MIA,204,09-11-2004 14:40
FAY_ATL_46737,2004,9,30,4,645,801,76,FAY,ATL,331,30-09-2004 08:01
DCA_ATL_35666,2004,7,14,3,1510,1700,110,DCA,ATL,547,14-07-2004 17:00
CLT_BDL_42424,2004,9,16,4,1610,1805,115,CLT,BDL,644,16-09-2004 20:39
LIT_STL_26307,2004,9,29,3,1035,1145,70,LIT,STL,296,29-09-2004 11:45
DFW_LAS_53022,2004,3,19,5,1142,1237,175,DFW,LAS,1055,19-03-2004 12:37
TUS_IAH_45810,2004,5,19,3,745,1209,144,TUS,IAH,936,19-05-2004 12:09
MIA_LAX_30314,2004,9,5,7,1755,2009,314,MIA,LAX,2342,05-09-2004 20:09
GJT_DEN_26023,2004,3,17,3,1239,1350,71,GJT,DEN,212,17-03-2004 13:50
ATL_PBI_48654,2004,11,19,5,959,1140,101,ATL,PBI,545,19-11-2004 13:51
DTW_MSP_33152,2004,5,17,1,1515,1608,113,DTW,MSP,528,17-05-2004 19:04
PWM_CLE_52868,2004,7,29,4,635,830,115,PWM,CLE,609,29-07-2004 08:30
RDU_MCO_40132,2004,9,14,2,600,740,100,RDU,MCO,534,14-09-2004 07:40
LAX_DFW_35496,2004,9,19,7,1140,1646,186,LAX,DFW,1235,19-09-2004 16:46
SFO_SNA_41948,2004,5,4,2,1036,1205,89,SFO,SNA,372,04-05-2004 12:05
DFW_BTR_39803,2004,3,30,2,1720,1838,78,DFW,BTR,383,30-03-2004 18:38
SAT_CVG_54774,2004,7,26,1,630,1009,159,SAT,CVG,1024,26-07-2004 10:09
CVG_JAX_39504,2004,5,14,5,1745,1935,110,CVG,JAX,614,14-05-2004 19:35
BOS_SFO_45182,2004,7,3,6,1755,2117,382,BOS,SFO,2704,03-07-2004 21:17
DEN_DFW_39351,2004,5,5,3,850,1136,106,DEN,DFW,641,05-05-2004 11:36
EWR_ORF_46661,2004,3,20,6,1145,1257,72,EWR,ORF,284,20-03-2004 12:57
OMA_STL_31517,2004,7,8,4,1140,1250,70,OMA,STL,342,08-07-2004 12:50
FLL_LAX_46813,2004,5,13,4,1100,1337,337,FLL,LAX,2342,13-05-2004 13:37
ORD_DTW_39169,2004,11,27,6,1759,2017,78,ORD,DTW,235,27-11-2004 20:17
SFO_LAX_34527,2004,11,5,5,1030,1154,84,SFO,LAX,337,05-11-2004 11:54
IAD_ORD_43524,2004,9,15,3,755,852,117,IAD,ORD,589,15-09-2004 11:19
MSP_IND_30380,2004,5,17,1,1654,1827,93,MSP,IND,503,17-05-2004 19:51
DEN_MCO_42612,2004,1,1,4,1245,1802,197,DEN,MCO,1545,01-01-2004 18:02
SJC_PHX_44885,2004,11,18,4,1050,1335,105,SJC,PHX,621,18-11-2004 13:35
ORD_MSP_30361,2004,9,5,7,845,1020,95,ORD,MSP,334,05-09-2004 11:38
CVG_FLL_35311,2004,7,31,6,1050,1333,163,CVG,FLL,932,31-07-2004 15:20
RDU_CVG_46174,2004,9,30,4,1525,1700,95,RDU,CVG,390,30-09-2004 19:57
MCI_LAX_32150,2004,3,19,5,820,1000,220,MCI,LAX,1363,19-03-2004 10:00
IAD_MCO_31001,2004,5,27,4,1310,1525,135,IAD,MCO,758,27-05-2004 15:25
MEM_SAT_38924,2004,11,5,5,1340,1533,113,MEM,SAT,625,05-11-2004 15:33
JFK_DCA_50506,2004,9,21,2,1540,1655,75,JFK,DCA,213,21-09-2004 16:55
PHX_SMF_38743,2004,5,10,1,1320,1520,120,PHX,SMF,647,10-05-2004 15:20
ORD_SLC_32708,2004,11,24,3,1645,1917,212,ORD,SLC,1249,24-11-2004 22:07
MYR_ATL_30281,2004,11,23,2,1130,1245,75,MYR,ATL,317,23-11-2004 15:17
PDX_DTW_42120,2004,5,7,5,835,1546,251,PDX,DTW,1953,07-05-2004 15:46
RIC_ATL_31251,2004,7,23,5,1455,1641,106,RIC,ATL,481,23-07-2004 16:41
BOS_IAD_46121,2004,11,12,5,1500,1645,105,BOS,IAD,413,12-11-2004 19:35
SEA_SJC_48582,2004,11,29,1,1000,1209,129,SEA,SJC,697,29-11-2004 12:09
ORD_MCO_49985,2004,9,6,1,1312,1652,160,ORD,MCO,1005,06-09-2004 16:52
OAK_DFW_44591,2004,3,7,7,1226,1748,202,OAK,DFW,1456,07-03-2004 17:48
IAH_IAD_33576,2004,5,29,6,1025,1422,177,IAH,IAD,1190,29-05-2004 14:22
FAT_DFW_38841,2004,5,18,2,1000,1507,187,FAT,DFW,1313,18-05-2004 15:07
ABI_IAH_38922,2004,3,11,4,1100,1230,90,ABI,IAH,307,11-03-2004 12:30
ATL_IAD_32125,2004,9,16,4,1215,1400,105,ATL,IAD,533,16-09-2004 15:15
MCI_MDW_40776,2004,5,10,1,700,815,75,MCI,MDW,405,10-05-2004 08:15
RIC_CVG_51214,2004,7,14,3,1515,1645,90,RIC,CVG,413,14-07-2004 16:45
DEN_MTJ_39342,2004,11,15,1,1615,1723,68,DEN,MTJ,197,15-11-2004 17:23
DCA_DFW_42229,2004,7,26,1,900,1103,183,DCA,DFW,1192,26-07-2004 11:03
DFW_MCO_39511,2004,5,9,7,1455,1825,150,DFW,MCO,984,09-05-2004 18:25
DFW_DCA_29261,2004,9,29,3,1716,2104,168,DFW,DCA,1192,29-09-2004 21:04
BNA_DFW_35110,2004,7,20,2,645,845,120,BNA,DFW,631,20-07-2004 08:45
XNA_DEN_47153,2004,11,16,2,1527,1625,118,XNA,DEN,616,16-11-2004 16:25
LAX_SFO_52071,2004,11,21,7,1545,1705,80,LAX,SFO,337,21-11-2004 17:05
BWI_MDW_28289,2004,11,5,5,810,915,125,BWI,MDW,611,05-11-2004 09:15
BTR_ATL_30179,2004,5,12,3,615,845,90,BTR,ATL,449,12-05-2004 09:51
SAT_ELP_31772,2004,3,11,4,1425,1455,90,SAT,ELP,496,11-03-2004 16:29
MHT_ATL_28631,2004,5,31,1,730,1010,160,MHT,ATL,952,31-05-2004 10:10
PHX_SFO_45197,2004,7,30,5,1259,1449,110,PHX,SFO,651,30-07-2004 14:49
SFO_SAN_48728,2004,7,1,4,1410,1540,90,SFO,SAN,447,01-07-2004 15:40
GSO_ATL_49732,2004,9,20,1,1203,1319,76,GSO,ATL,306,20-09-2004 13:19
ATL_EVV_52195,2004,9,19,7,1414,1434,80,ATL,EVV,350,19-09-2004 14:34
STL_LAX_49566,2004,5,30,7,1750,2003,253,STL,LAX,1593,30-05-2004 20:03
SAN_ATL_54428,2004,7,21,3,1144,1904,260,SAN,ATL,1891,21-07-2004 19:04
SFO_ORD_35717,2004,5,19,3,1100,1704,244,SFO,ORD,1846,19-05-2004 17:04
ATL_LGA_40603,2004,5,7,5,1350,1605,135,ATL,LGA,761,07-05-2004 16:05
RNO_SLC_54514,2004,9,7,2,1155,1410,75,RNO,SLC,422,07-09-2004 14:10
EWR_ORD_48747,2004,5,16,7,1645,1813,148,EWR,ORD,719,16-05-2004 18:13
STL_SJU_54474,2004,5,30,7,830,1350,260,STL,SJU,2024,30-05-2004 13:50
IND_DTW_52419,2004,5,23,7,1732,1942,70,IND,DTW,231,23-05-2004 19:42
PVD_CLT_47342,2004,11,13,6,705,913,128,PVD,CLT,683,13-11-2004 11:13
SLC_OKC_34710,2004,11,10,3,955,1312,137,SLC,OKC,866,10-11-2004 13:12
ATL_PHL_52714,2004,5,4,2,1413,1615,122,ATL,PHL,665,04-05-2004 16:15
IAD_SAV_53363,2004,9,25,6,605,750,105,IAD,SAV,515,25-09-2004 08:56
CMH_IAD_54589,2004,11,17,3,1745,1856,71,CMH,IAD,299,17-11-2004 18:56
SFO_LAX_45779,2004,5,26,3,1045,1209,84,SFO,LAX,337,26-05-2004 12:09
LAX_SJC_44761,2004,5,18,2,1605,1714,69,LAX,SJC,308,18-05-2004 17:14
LAX_PHX_43127,2004,9,8,3,600,715,75,LAX,PHX,370,08-09-2004 07:15
SEA_SFO_28515,2004,5,31,1,1525,1724,119,SEA,SFO,679,31-05-2004 17:24
MGM_DFW_40963,2004,5,22,6,1700,1859,119,MGM,DFW,622,22-05-2004 18:59
IND_BWI_26754,2004,1,2,5,1510,1645,95,IND,BWI,515,02-01-2004 16:45
CLT_PHL_36241,2004,9,2,4,1235,1411,96,CLT,PHL,448,02-09-2004 14:11
MDW_SDF_33048,2004,11,3,3,1630,1840,70,MDW,SDF,271,03-11-2004 18:40
ATL_DFW_54351,2004,7,17,6,843,1003,140,ATL,DFW,732,17-07-2004 12:58
PHL_PHX_54409,2004,9,20,1,954,1217,323,PHL,PHX,2075,20-09-2004 12:17
ATL_MSY_48374,2004,7,4,7,1741,1826,105,ATL,MSY,425,04-07-2004 20:32
MLB_CVG_46467,2004,9,4,6,1140,1356,136,MLB,CVG,789,04-09-2004 15:49
PHL_MCO_52162,2004,11,16,2,700,933,153,PHL,MCO,861,16-11-2004 09:33
IAH_CVG_49017,2004,7,8,4,1040,1412,152,IAH,CVG,871,08-07-2004 14:12
DTW_MKE_39979,2004,11,7,7,916,923,67,DTW,MKE,238,07-11-2004 09:23
MCO_ABQ_45801,2004,3,31,3,1555,1805,250,MCO,ABQ,1552,31-03-2004 18:05
MEM_MSY_37212,2004,11,7,7,930,1042,72,MEM,MSY,349,07-11-2004 10:42
SAT_DFW_55393,2004,5,4,2,1125,1232,67,SAT,DFW,247,04-05-2004 12:32
DFW_FSM_40448,2004,9,26,7,1245,1346,61,DFW,FSM,228,26-09-2004 13:46
